X,Y,Z
-11.933373065023712,-15.030007847719741,-31.3483333544621
-11.98005188263488,-15.041200786399628,-31.37167864985437
-12.167639414736438,-15.086356657523682,-31.465860989294914
-12.214756036039747,-15.097741932744778,-31.489607444159034
-12.261961225173618,-15.109165844021982,-31.513434482877706
-12.30925532010676,-15.120628448773116,-31.537342225208228
-12.35663865979642,-15.132129804919924,-31.561330791958923
-12.404111584197695,-15.143669970891663,-31.585400304996657
-12.451674434270119,-15.155249005625404,-31.609550887247433
-12.49932755198643,-15.1668669685689,-31.633782662702412
-12.54707128034088,-15.178523919682888,-31.65809575642268
-12.59490596335599,-15.190219919441466,-31.682490294540052
-12.642831946092256,-15.201955028836005,-31.70696640426523
-12.690849574655594,-15.213729309376284,-31.731524213890168
-12.73895919620519,-15.225542823092088,-31.756163852791403
-12.787161158962343,-15.237395632535964,-31.780885451435807
-12.83545581221829,-15.249287800784714,-31.805689141383695
-12.8838435063428,-15.261219391441768,-31.83057505529378
-12.932324592792707,-15.273190468639458,-31.855543326927926
-12.980899424119169,-15.285201097039732,-31.88059409115261
-13.029568353977993,-15.297251341838468,-31.905727483947942
-13.078331737136102,-15.3093412687652,-31.930943642407087
-13.127189929481267,-15.32147094408664,-31.95624270474361
-13.176143288030392,-15.333640434608467,-31.98162481029521
-13.22519217093788,-15.34584980767719,-32.0070900995276
-13.27433693750464,-15.358099131182692,-32.03263871403983
-13.323577948185985,-15.370388473559483,-32.058270796566866
-13.372915564601406,-15.382717903790056,-32.083986490986625
-13.422350149542176,-15.395087491405722,-32.10978594232171
-13.471882066981085,-15.40749730648986,-32.13566929674616
-13.521511682080812,-15.41994741967955,-32.16163670158889
-13.571239361202576,-15.4324379021675,-32.1876883053377
-13.621065471915637,-15.44496882570491,-32.21382425764524
-13.67099038300552,-15.457540262602832,-32.24004470933186
-13.721014464484055,-15.470152285735562,-32.26634981239267
-13.77113808759693,-15.482804968541181,-32.29273971999867
-13.821361624834287,-15.495498385025481,-32.31921458650496
-13.8716854499388,-15.50823260976304,-32.345774567452956
-13.92210993791523,-15.521007717899892,-32.37241981957597
-14.023262408869147,-15.546680887827074,-32.425966770269355
-12.415687790419351,-15.195887817108348,-31.61487755574874
-12.463289611226818,-15.207500167827217,-31.639036923765275
-12.510981759553843,-15.219151591652386,-31.663277582949934
-12.65460360989651,-15.254340907397907,-31.736488567523846
-12.702660513734303,-15.266149231867429,-31.761055656774282
-12.750809473024452,-15.277996936146414,-31.785704675285402
-12.79905083651255,-15.289884083139242,-31.81043575392908
-12.84738495401609,-15.30181073627588,-31.83524902467067
-12.895812176433058,-15.313776959514255,-31.86014462057393
-12.944332855750433,-15.3257828173425,-31.88512267580571
-12.992947345052198,-15.337828374780553,-31.91018332563928
-13.041655998527776,-15.34991369738225,-31.935326706458678
-13.090459171481308,-15.362038851238358,-31.960552955765014
-13.139357220338727,-15.374203902976985,-31.985862212177334
-13.18835050265795,-15.386408919767609,-32.011254615441
-13.237439377136058,-15.398653969321536,-32.03673030642864
-13.286624203618494,-15.410939119894707,-32.062289427145984
-13.33590534310814,-15.423264440290282,-32.08793212073726
-13.385283157773266,-15.43562999985992,-32.11365853148782
-13.434758010956974,-15.448035868506722,-32.13946880483031
-13.484330267185076,-15.460482116686338,-32.165363087346925
-13.534000292175865,-15.472968815410228,-32.191341526776235
-12.237630563829791,-15.202025545130173,-31.5485779138478
-12.284913369158053,-15.213515008245267,-31.572421856301307
-12.33228519630282,-15.225043452225703,-31.59634669526849
-12.379746385235654,-15.236610935674651,-31.620352552367788
-12.427297276929021,-15.248217517704319,-31.644439550274047
-12.474938213364249,-15.259863257937917,-31.668607812722588
-12.522669537539587,-15.271548216511691,-31.69285746451342
-12.57049159347882,-15.283272454077593,-31.71718863151681
-12.618404726238039,-15.295036031803683,-31.741601440674074
-12.666409281915666,-15.306839011378447,-31.766096020006582
-12.714505607658786,-15.318681455010585,-31.790672498615287
-12.762694051672447,-15.33056342543237,-31.815331006687703
-12.810974963227764,-15.342484985901512,-31.840071675501793
-12.859348692669858,-15.354446200202815,-31.864894637429376
-12.907815591426308,-15.366447132650366,-31.88980002594069
-12.956376012015806,-15.378487848089977,-31.914787975609457
-13.00503030805614,-15.390568411900759,-31.939858622116148
-13.05377883427285,-15.40268888999746,-31.96501210225284
-13.102621946507886,-15.414849348832806,-31.99024855392805
-13.151560001727464,-15.427049855398785,-32.01556811616945
-13.200593358031275,-15.43929047722956,-32.04097092912985
-13.249722374661193,-15.451571282403723,-32.06645713409192
-13.298947412009126,-15.463892339545493,-32.09202687347067
-13.348268831626447,-15.476253717827765,-32.11768029081976
-13.397686996231958,-15.48865548697336,-32.14341753083412
-13.447202269721881,-15.501097717258652,-32.16923873935743
-13.496815017177168,-15.513580479513987,-32.19514406338306
-13.546525604873647,-15.52610384512739,-32.2211336510617
-13.596334400289646,-15.538667886045308,-32.24720765170293
